id,filtered_words,features,label_index
R170,"['carry', 'style', 'science', 'personal', 'watch.', 'star', 'treatment', 'yeah.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']","(10000,[454,1020,2227,2519,3363,3614,4506,4687,5170,7939,8000,8015,8134,9462],[3.5085558999826545,2.5277266469709283,2.7200985396183848,5.117993812416755,4.270695952029551,0.6832166123573445,0.691153161953081,0.6871770135734415,4.019381523748645,4.830311739964974,4.42484663185681,4.137164559405029,5.523458920524919,0.691153161953081])",1.0
F110,"['serious', 'deep', 'include', 'cup', 'political', 'live.', 'two', 'environment', 'city', 'report', 'cold', 'end', 'tend', 'theory.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']","(10000,[453,503,1117,1762,1810,2407,2929,2953,3059,3486,3920,3935,4728,4921,5495,5850,6477,6505,7281,7936,8338],[4.42484663185681,0.691153161953081,3.914021008090819,3.914021008090819,3.914021008090819,4.607168188650764,5.117993812416755,4.270695952029551,4.270695952029551,2.849310271098391,4.270695952029551,4.137164559405029,3.7316994512968646,2.849310271098391,4.019381523748645,0.691153161953081,5.117993812416755,4.270695952029551,0.6753425559264385,0.691153161953081,0.691153161953081])",0.0
F048,"['red', 'remember', 'anything', 'word', 'bag.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[52,503,2114,3519,3892,5685,5850,5891,6747,7281,7936,8338],[4.137164559405029,0.691153161953081,4.270695952029551,4.019381523748645,2.5530444549552183,4.607168188650764,0.691153161953081,4.607168188650764,2.5530444549552183,0.6753425559264385,0.691153161953081,0.691153161953081])",0.0
F082,"['budget', 'amount', 'mrs.', 'though', 'assume', 'ago', 'receive', 'note', 'must.', 'environmental', 'leg', 'public', 'play', 'wind.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']","(10000,[503,641,1770,1896,1978,2173,2664,3385,3739,4377,4617,4991,5850,6027,6290,7222,7281,7936,8338,9909],[0.691153161953081,4.607168188650764,2.8154087194227095,4.137164559405029,5.117993812416755,4.137164559405029,3.914021008090819,4.270695952029551,4.830311739964974,2.60568818844064,3.914021008090819,2.6902455764687034,0.691153161953081,3.914021008090819,4.137164559405029,3.7316994512968646,0.6753425559264385,0.691153161953081,0.691153161953081,3.914021008090819])",0.0
F187,"['green', 'research', 'consider', 'eye', 'upon.', 'find', 'responsibility', 'attack', 'eye.', 'statement', 'tough', 'media', 'customer', 'room.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[312,503,551,1209,1256,1341,1413,2366,2600,3502,5087,5447,5693,5850,7281,7510,7860,7936,8338,9432,9817],[3.8187108282864943,0.691153161953081,4.019381523748645,3.4440173788450834,3.125563647726549,5.117993812416755,4.270695952029551,4.137164559405029,5.523458920524919,4.607168188650764,5.523458920524919,3.3262343431887,4.270695952029551,0.691153161953081,0.6753425559264385,4.019381523748645,2.958509563063383,0.691153161953081,0.691153161953081,4.607168188650764,3.7316994512968646])",0.0
F027,"['develop', 'control', 'guy', 'best', 'practice.', 'interview', 'need', 'either', 'type', 'fire', 'central.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[94,503,763,1208,1241,1256,3526,3567,5191,5850,6035,6271,6537,7281,7860,7936,8338,9126],[4.137164559405029,0.691153161953081,4.42484663185681,2.7508701982851385,4.019381523748645,3.125563647726549,4.830311739964974,5.117993812416755,4.42484663185681,0.691153161953081,3.4440173788450834,4.019381523748645,4.607168188650764,0.6753425559264385,2.958509563063383,0.691153161953081,0.691153161953081,4.270695952029551])",0.0
F202,"['may', 'probably', 'friend', 'international.', 'without', 'pretty', 'improve', 'town', 'course.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']","(10000,[488,503,2297,2408,2886,3919,4043,4377,4499,4715,5850,7281,7936,8338,9160],[4.607168188650764,0.691153161953081,4.019381523748645,3.8187108282864943,5.117993812416755,3.914021008090819,4.42484663185681,2.60568818844064,5.523458920524919,4.270695952029551,0.691153161953081,0.6753425559264385,0.691153161953081,0.691153161953081,4.270695952029551])",0.0
F197,"['hour', 'east', 'president', 'late', 'southern', 'under.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[503,527,1306,3079,3743,3892,5850,6576,6747,7281,7936,8338,9782],[0.691153161953081,4.42484663185681,4.137164559405029,3.8187108282864943,4.270695952029551,2.5530444549552183,0.691153161953081,4.42484663185681,2.5530444549552183,0.6753425559264385,0.691153161953081,0.691153161953081,5.117993812416755])",0.0
R128,"['gun', 'process', 'term', 'try', 'real.', 'bad', 'whether', 'spend', 'art', 'sing', 'people.', 'wall', 'serious', 'enter', 'food.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[353,821,1117,2059,2188,3166,3406,3614,4085,4506,4687,4693,5963,6404,6451,7435,7854,7956,8040,8313,9462],[5.117993812416755,2.849310271098391,3.914021008090819,2.6330871626287546,4.42484663185681,5.117993812416755,3.8187108282864943,0.6832166123573445,4.830311739964974,0.691153161953081,0.6871770135734415,3.914021008090819,4.830311739964974,4.019381523748645,3.8187108282864943,4.270695952029551,4.019381523748645,4.607168188650764,3.8187108282864943,3.6516567436233283,0.691153161953081])",1.0
F157,"['nice', 'trouble', 'stay', 'bed', 'close.', 'fear', 'see', 'sort', 'responsibility', 'environmental.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']","(10000,[433,503,2259,2909,3370,3502,5354,5720,5850,7281,7936,7937,8338,9216,9497,9513,9813],[4.607168188650764,0.691153161953081,2.7826188965997183,4.137164559405029,4.830311739964974,4.607168188650764,4.137164559405029,4.270695952029551,0.691153161953081,0.6753425559264385,0.691153161953081,4.830311739964974,0.691153161953081,4.830311739964974,4.42484663185681,4.137164559405029,2.997730276216664])",0.0
F117,"['business', 'coach', 'clearly', 'before.', 'base', 'my.', 'help', 'professor', 'begin', 'series', 'treat', 'foreign.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']","(10000,[503,1513,2543,3514,3822,4377,4463,4596,5374,5850,7281,7696,7936,8173,8238,8338,8750,9347],[0.691153161953081,3.8187108282864943,3.5085558999826545,3.6516567436233283,5.117993812416755,2.60568818844064,4.137164559405029,4.830311739964974,3.914021008090819,0.691153161953081,0.6753425559264385,5.523458920524919,0.691153161953081,3.5085558999826545,3.914021008090819,0.691153161953081,3.7316994512968646,3.914021008090819])",0.0
F173,"['drive', 'free', 'assume', 'worry', 'arrive', 'nation.', 'mother', 'prepare', 'maintain.', 'structure', 'per', 'include', 'job.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[298,354,503,1073,2286,2636,2664,2953,2996,3892,5850,6325,6475,6747,7281,7391,7725,7936,8338,8343],[4.42484663185681,5.117993812416755,0.691153161953081,4.830311739964974,4.270695952029551,4.830311739964974,3.914021008090819,4.270695952029551,3.577548771469606,2.5530444549552183,0.691153161953081,4.137164559405029,4.42484663185681,2.5530444549552183,0.6753425559264385,4.019381523748645,4.830311739964974,0.691153161953081,0.691153161953081,4.42484663185681])",0.0
F024,"['manager', 'offer', 'building', 'decide.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,650,1652,2958,4310,5850,5852,7281,7936,8338],[0.691153161953081,2.958509563063383,4.137164559405029,4.607168188650764,5.523458920524919,0.691153161953081,4.137164559405029,0.6753425559264385,0.691153161953081,0.691153161953081])",0.0
F096,"['probably', 'model', 'could.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']","(10000,[503,2297,3486,4921,5850,7102,7281,7876,7936,8338],[0.691153161953081,4.019381523748645,2.849310271098391,2.849310271098391,0.691153161953081,3.6516567436233283,0.6753425559264385,4.42484663185681,0.691153161953081,0.691153161953081])",0.0
R247,"['area', 'side', 'hear', 'draw.', 'voice', 'argue', 'parent.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[1770,3530,3614,3730,3759,4506,4687,4842,5649,6219,7958,9462,9781],[2.8154087194227095,4.42484663185681,0.6832166123573445,4.607168188650764,5.523458920524919,0.691153161953081,0.6871770135734415,4.019381523748645,3.7316994512968646,3.0811118851557153,5.523458920524919,0.691153161953081,4.270695952029551])",1.0
F226,"['protect', 'inside', 'still', 'owner', 'social.', 'summer', 'box', 'debate', 'money', 'trial', 'nothing', 'level.', 'room', 'many', 'last', 'pay', 'situation', 'food', 'analysis.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']","(10000,[494,503,2259,3136,3410,3712,3989,4292,4847,4897,5188,5850,6053,6103,6421,7235,7281,7922,7936,8276,8338,8653,9066,9121,9481,9813],[4.830311739964974,0.691153161953081,2.7826188965997183,4.019381523748645,3.7316994512968646,4.42484663185681,4.019381523748645,4.42484663185681,4.019381523748645,4.270695952029551,4.830311739964974,0.691153161953081,4.019381523748645,4.270695952029551,5.117993812416755,4.019381523748645,0.6753425559264385,4.019381523748645,0.691153161953081,4.137164559405029,0.691153161953081,4.607168188650764,3.7316994512968646,4.607168188650764,3.914021008090819,2.997730276216664])",0.0
F100,"['nice', 'pressure', 'beyond', 'approach.', 'always', 'form', 'matter', 'despite', 'event', 'direction.', 'economic', 'according', 'eight', 'probably.', 'interesting', 'test', 'professor', 'list.', '—', 'shocking', 'claims', 'flat', 'earth', 'surface', 'internet.']","(10000,[503,1301,2402,2543,2918,3370,3634,5415,5621,5661,5850,6434,6586,7281,7564,7728,7936,8338,8482,8900,8961,9011,9144,9547,9676],[0.691153161953081,3.914021008090819,4.019381523748645,3.5085558999826545,3.0385522707369192,4.830311739964974,3.914021008090819,4.830311739964974,4.607168188650764,4.830311739964974,0.691153161953081,5.117993812416755,4.42484663185681,0.6753425559264385,4.607168188650764,4.607168188650764,0.691153161953081,0.691153161953081,5.117993812416755,4.607168188650764,5.523458920524919,4.270695952029551,2.7508701982851385,5.523458920524919,3.0385522707369192])",0.0
F246,"['bring', 'rise', 'reality', 'role', 'music.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']","(10000,[503,680,1675,2259,3057,3350,4816,5850,7281,7936,8338,9813],[0.691153161953081,4.270695952029551,5.523458920524919,2.7826188965997183,4.607168188650764,4.137164559405029,3.3262343431887,0.691153161953081,0.6753425559264385,0.691153161953081,0.691153161953081,2.997730276216664])",0.0
F183,"['effort', 'step', 'media', 'simple', 'between.', 'box', 'bad', 'maintain', 'drive', 'throw.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,650,1209,1558,2913,3011,5247,5726,5850,6325,7281,7922,7936,7956,8338,9207],[0.691153161953081,2.958509563063383,3.4440173788450834,4.019381523748645,3.577548771469606,5.523458920524919,4.42484663185681,4.42484663185681,0.691153161953081,4.137164559405029,0.6753425559264385,4.019381523748645,0.691153161953081,4.607168188650764,0.691153161953081,5.523458920524919])",0.0
R063,"['year', 'share', 'condition', 'wait.', 'appear', 'late', 'theory', 'carry', 'drug.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[454,1468,3079,3614,3947,3980,4506,4687,5328,6063,6944,8182,8899,9462],[3.5085558999826545,4.137164559405029,3.8187108282864943,0.6832166123573445,4.270695952029551,5.117993812416755,0.691153161953081,0.6871770135734415,3.2721671219184243,5.117993812416755,2.7508701982851385,4.42484663185681,4.137164559405029,0.691153161953081])",1.0
R005,"['pick', 'debate', 'opportunity', 'entire', 'push', 'the.', 'wrong', 'throw', 'letter.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[2260,3556,3614,4300,4506,4687,5978,6512,6976,7372,8276,8325,8824,9462],[5.117993812416755,2.849310271098391,0.6832166123573445,4.830311739964974,0.691153161953081,0.6871770135734415,4.607168188650764,4.270695952029551,4.830311739964974,4.42484663185681,4.137164559405029,4.607168188650764,4.137164559405029,0.691153161953081])",1.0
R084,"['represent', 'point', 'star', 'certainly', 'check', 'without.', 'whose', 'still', 'owner', 'property', 'expert.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[673,1510,2733,3556,3614,3712,3804,3901,4416,4506,4687,5170,6053,8717,9462,9539],[4.137164559405029,5.523458920524919,4.830311739964974,2.849310271098391,0.6832166123573445,4.42484663185681,4.830311739964974,3.8187108282864943,4.019381523748645,0.691153161953081,0.6871770135734415,4.019381523748645,4.019381523748645,4.607168188650764,0.691153161953081,4.137164559405029])",1.0
R124,"['time', 'exactly', 'smile', 'hair', 'general.', 'buy', 'word', 'huge.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[80,2096,2713,3519,3614,4506,4687,5047,5321,7664,8157,9462,9543],[3.577548771469606,4.137164559405029,4.019381523748645,4.019381523748645,0.6832166123573445,0.691153161953081,0.6871770135734415,2.7200985396183848,3.8187108282864943,4.137164559405029,3.577548771469606,0.691153161953081,4.607168188650764])",1.0
R118,"['say', 'time', 'school', 'building', 'certain', 'pressure.', 'medical', 'news', 'mrs', 'machine', 'general', 'point.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[454,740,2433,2679,3614,4506,4687,5465,5852,5862,7066,8040,8157,8268,9288,9462,9751],[3.5085558999826545,5.117993812416755,4.270695952029551,4.019381523748645,0.6832166123573445,0.691153161953081,0.6871770135734415,3.914021008090819,4.137164559405029,4.019381523748645,2.849310271098391,3.8187108282864943,3.577548771469606,3.5085558999826545,4.42484663185681,0.691153161953081,4.019381523748645])",1.0
F001,"['bed', 'central', 'hundred.', 'season', 'peace', 'year', 'adult', 'attorney', 'put', 'these.', 'task', 'hope', 'risk', 'occur.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[72,503,650,2358,2516,4853,5678,5850,6000,6697,7281,7692,7936,8338,8451,8794,8871,8899,8928,9497],[4.019381523748645,0.691153161953081,2.958509563063383,4.137164559405029,5.523458920524919,4.019381523748645,5.523458920524919,0.691153161953081,3.8187108282864943,3.914021008090819,0.6753425559264385,4.830311739964974,0.691153161953081,0.691153161953081,4.607168188650764,4.270695952029551,4.270695952029551,4.137164559405029,4.42484663185681,4.42484663185681])",0.0
F007,"['police', 'character', 'radio', 'value', 'green', 'growth', 'special.', 'daughter', 'tv', 'popular', 'father', 'training', 'size', 'position.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']","(10000,[320,503,551,1800,1819,2066,3192,3876,4547,4867,5118,5850,6148,7281,7403,7538,7623,7936,8338,9086,9876],[3.577548771469606,0.691153161953081,4.019381523748645,4.019381523748645,5.117993812416755,2.7508701982851385,3.914021008090819,4.270695952029551,4.270695952029551,4.830311739964974,5.523458920524919,0.691153161953081,4.137164559405029,0.6753425559264385,4.270695952029551,4.42484663185681,4.42484663185681,0.691153161953081,0.691153161953081,4.270695952029551,2.7508701982851385])",0.0
F046,"['yard', 'sort', 'ok', 'table.', 'model', 'worry', 'lot', 'certainly', 'easy.', 'risk', 'finally', 'test', 'call', 'war', 'stand.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[424,503,673,1208,1817,2645,3184,4175,4943,5146,5720,5850,6090,6404,6586,7102,7281,7936,8338,8343,8719,8794],[4.42484663185681,0.691153161953081,4.137164559405029,2.7508701982851385,4.830311739964974,3.7316994512968646,2.8154087194227095,4.607168188650764,4.607168188650764,4.019381523748645,4.270695952029551,0.691153161953081,5.523458920524919,4.019381523748645,4.42484663185681,3.6516567436233283,0.6753425559264385,0.691153161953081,0.691153161953081,4.42484663185681,4.137164559405029,4.270695952029551])",0.0
R103,"['able', 'figure', 'young', 'third', 'keep.', 'system', 'draw', 'throughout', 'treatment.', 'however', 'source', 'car.', 'along', 'big', 'among', 'fine', 'whose.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[911,2840,3048,3143,3496,3614,3996,4110,4506,4687,5948,6383,6431,7066,7362,7721,7809,8167,8290,8771,9462,9767],[4.270695952029551,4.270695952029551,4.137164559405029,4.830311739964974,4.42484663185681,0.6832166123573445,4.019381523748645,3.914021008090819,0.691153161953081,0.6871770135734415,4.42484663185681,4.830311739964974,4.830311739964974,2.849310271098391,4.137164559405029,4.019381523748645,4.42484663185681,3.8187108282864943,4.607168188650764,4.830311739964974,0.691153161953081,5.117993812416755])",1.0
R037,"['garden', 'draw', 'score.', 'change', 'newspaper', 'people', 'always', 'thousand.', 'population', 'think', 'old', 'various', 'dark.', 'experts', 'discuss', 'ongoing', 'developments', 'budget', 'report.']","(10000,[387,2335,3238,3614,4263,4506,4687,4991,5432,5936,6444,6647,6717,7083,7195,8167,9011,9258,9462],[4.607168188650764,4.607168188650764,4.42484663185681,0.6832166123573445,4.42484663185681,0.691153161953081,0.6871770135734415,2.6902455764687034,2.6902455764687034,3.8187108282864943,5.523458920524919,3.914021008090819,4.830311739964974,4.607168188650764,5.523458920524919,3.8187108282864943,4.270695952029551,5.117993812416755,0.691153161953081])",1.0
F193,"['else', 'rise', 'look', 'hit', 'hit', 'writer.', 'great', 'wish', 'within', 'education', 'specific', 'agent.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']","(10000,[495,503,750,2059,3892,4816,5034,5530,5850,6747,7281,7857,7936,8012,8252,8338,9817,9939],[4.019381523748645,0.691153161953081,4.830311739964974,2.6330871626287546,2.5530444549552183,3.3262343431887,4.270695952029551,4.270695952029551,0.691153161953081,2.5530444549552183,0.6753425559264385,5.523458920524919,0.691153161953081,5.117993812416755,9.214336377301528,0.691153161953081,3.7316994512968646,4.607168188650764])",0.0
R166,"['parent', 'argue', 'actually', 'worry.', 'treat', 'draw', 'pressure', 'finally', 'defense', 'goal', 'film', 'chance.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[1817,3543,3556,3614,3730,4506,4687,5003,5089,5661,6447,8167,8750,9231,9462,9932,9944],[4.830311739964974,4.42484663185681,2.849310271098391,0.6832166123573445,4.607168188650764,0.691153161953081,0.6871770135734415,4.42484663185681,4.137164559405029,4.830311739964974,4.137164559405029,3.8187108282864943,3.7316994512968646,5.523458920524919,0.691153161953081,4.270695952029551,4.830311739964974])",1.0
F017,"['actually', 'color', 'late.', 'film', 'find', 'area', 'family.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']","(10000,[503,2066,5003,5649,5850,6151,6447,7281,7510,7936,8033,8338,9832,9876],[0.691153161953081,2.7508701982851385,4.42484663185681,3.7316994512968646,0.691153161953081,5.117993812416755,4.137164559405029,0.6753425559264385,4.019381523748645,0.691153161953081,5.523458920524919,0.691153161953081,4.270695952029551,2.7508701982851385])",0.0
R008,"['happen', 'leg', 'nothing.', 'word', 'weight', 'begin', 'particular', 'thus', 'particularly.', 'name', 'air', 'understand', 'grow.', 'experts', 'discuss', 'ongoing', 'developments', 'economic', 'growth.']","(10000,[15,88,1513,3519,3614,4506,4687,4704,5684,6290,6487,8004,8094,8661,8984,9034,9144,9168,9462],[4.137164559405029,4.270695952029551,3.8187108282864943,4.019381523748645,0.6832166123573445,0.691153161953081,0.6871770135734415,3.7316994512968646,4.607168188650764,4.137164559405029,3.577548771469606,4.42484663185681,4.607168188650764,5.117993812416755,4.019381523748645,2.920769235080536,2.7508701982851385,5.117993812416755,0.691153161953081])",1.0
F071,"['situation', 'seat', 'mrs', 'artist', 'seem.', 'blue', 'including', 'easy', 'matter.', 'need', 'guess', 'center', 'spring', 'positive', 'get', 'line', 'consider.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']","(10000,[1,47,503,760,1182,1480,1644,3136,3486,4502,4921,5768,5850,6537,6751,7281,7334,7936,7968,8338,8660,8931,9426,9751],[5.117993812416755,4.137164559405029,0.691153161953081,3.8187108282864943,4.137164559405029,4.137164559405029,4.42484663185681,4.019381523748645,2.849310271098391,4.42484663185681,2.849310271098391,4.270695952029551,0.691153161953081,4.607168188650764,5.117993812416755,0.6753425559264385,3.8187108282864943,0.691153161953081,4.830311739964974,0.691153161953081,3.577548771469606,4.270695952029551,4.42484663185681,4.019381523748645])",0.0
F028,"['rise', 'want', 'near.', 'ever', 'environment', 'main', 'pattern', 'believe.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[503,586,617,1208,1637,2407,3184,4816,5594,5850,6817,7281,7712,7936,8338],[0.691153161953081,5.117993812416755,4.019381523748645,2.7508701982851385,4.019381523748645,4.607168188650764,2.8154087194227095,3.3262343431887,4.019381523748645,0.691153161953081,5.523458920524919,0.6753425559264385,4.607168188650764,0.691153161953081,0.691153161953081])",0.0
F227,"['accept', 'establish', 'green', 'player', 'course', 'performance', 'certainly', 'age.', 'politics', 'middle', 'treatment', 'current', 'also', 'answer.', 'region', 'record', 'example', 'fact', 'perform', 'call', 'system.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']","(10000,[503,551,673,1098,2066,2086,2657,2923,3652,3792,4262,4347,5146,5850,5887,6358,6604,7215,7281,7936,8015,8159,8338,9189,9351,9606,9876,9878],[0.691153161953081,4.019381523748645,4.137164559405029,3.914021008090819,2.7508701982851385,4.42484663185681,3.6516567436233283,4.42484663185681,3.8187108282864943,3.577548771469606,5.523458920524919,4.137164559405029,4.019381523748645,0.691153161953081,3.7316994512968646,5.523458920524919,4.270695952029551,4.137164559405029,0.6753425559264385,0.691153161953081,4.137164559405029,3.577548771469606,0.691153161953081,4.270695952029551,4.607168188650764,4.607168188650764,2.7508701982851385,4.607168188650764])",0.0
R200,"['meeting', 'size', 'often', 'strong', 'summer.', 'book', 'together', 'hair', 'center', 'method.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[7,20,393,1480,1770,2191,3192,3614,4506,4687,6219,6355,7664,8312,8463,9462],[4.42484663185681,4.019381523748645,4.42484663185681,4.137164559405029,2.8154087194227095,5.117993812416755,3.914021008090819,0.6832166123573445,0.691153161953081,0.6871770135734415,3.0811118851557153,4.019381523748645,4.137164559405029,4.42484663185681,4.607168188650764,0.691153161953081])",1.0
